Europawahl  7. Juni 2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Name;Wahlbe-;abgegeb.;Wahlbet.;ungültige;;gültige;;SPÖ;;ÖVP;;MARTIN;;GRÜNE;;FPÖ;;KPÖ;;JuLis;;BZÖ;;erste Eingabe;;letzte Eingabe;
;;rechtigte;Stimmen;in %;Stimmen;in %;Stimmen;in %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Datum;Zeit;Datum;Zeit
41227;St.Marienkirchen am Hausruck  ;638; 	359 ; 	56,27 ; 	11 ; 	3,06 ; 	348 ; 	96,94 ; 	31 ; 	8,91 ; 	174 ; 	50,00 ; 	35 ; 	10,06 ; 	16 ; 	4,60 ; 	76 ; 	21,84 ; 	1 ; 	0,29 ; 	0 ; 	0 ; 	15 ; 	4,31 ;6/7/09;6/7/09;6/7/09;6/7/09
41228;St.Martin im Innkreis         ;1.284; 	555 ; 	43,22 ; 	14 ; 	2,52 ; 	541 ; 	97,48 ; 	105 ; 	19,41 ; 	157 ; 	29,02 ; 	84 ; 	15,53 ; 	32 ; 	5,91 ; 	140 ; 	25,88 ; 	1 ; 	0,18 ; 	4 ; 	0,74 ; 	18 ; 	3,33 ;6/7/09;6/7/09;6/7/09;6/7/09
41229;Schildorn                     ;878; 	415 ; 	47,27 ; 	8 ; 	1,93 ; 	407 ; 	98,07 ; 	93 ; 	22,85 ; 	175 ; 	43,00 ; 	63 ; 	15,48 ; 	13 ; 	3,19 ; 	47 ; 	11,55 ; 	5 ; 	1,23 ; 	0 ; 	0 ; 	11 ; 	2,70 ;6/7/09;6/7/09;6/7/09;6/7/09
41230;Senftenbach                   ;592; 	314 ; 	53,04 ; 	2 ; 	0,64 ; 	312 ; 	99,36 ; 	48 ; 	15,38 ; 	142 ; 	45,51 ; 	25 ; 	8,01 ; 	18 ; 	5,77 ; 	66 ; 	21,15 ; 	0 ; 	0 ; 	3 ; 	0,96 ; 	10 ; 	3,21 ;6/7/09;6/7/09;6/7/09;6/7/09
41231;Taiskirchen im Innkreis       ;1.926; 	933 ; 	48,44 ; 	23 ; 	2,47 ; 	910 ; 	97,53 ; 	122 ; 	13,41 ; 	437 ; 	48,02 ; 	113 ; 	12,42 ; 	55 ; 	6,04 ; 	136 ; 	14,95 ; 	3 ; 	0,33 ; 	3 ; 	0,33 ; 	41 ; 	4,51 ;6/7/09;6/7/09;6/7/09;6/7/09
41232;Tumeltsham                    ;1.185; 	618 ; 	52,15 ; 	13 ; 	2,10 ; 	605 ; 	97,90 ; 	55 ; 	9,09 ; 	222 ; 	36,69 ; 	99 ; 	16,36 ; 	67 ; 	11,07 ; 	129 ; 	21,32 ; 	2 ; 	0,33 ; 	4 ; 	0,66 ; 	27 ; 	4,46 ;6/7/09;6/7/09;6/7/09;6/7/09
41233;Utzenaich                     ;1.197; 	568 ; 	47,45 ; 	12 ; 	2,11 ; 	556 ; 	97,89 ; 	96 ; 	17,27 ; 	251 ; 	45,14 ; 	75 ; 	13,49 ; 	34 ; 	6,12 ; 	78 ; 	14,03 ; 	1 ; 	0,18 ; 	3 ; 	0,54 ; 	18 ; 	3,24 ;6/7/09;6/7/09;6/7/09;6/7/09
41234;Waldzell                      ;1.705; 	750 ; 	43,99 ; 	18 ; 	2,40 ; 	732 ; 	97,60 ; 	186 ; 	25,41 ; 	276 ; 	37,70 ; 	79 ; 	10,79 ; 	43 ; 	5,87 ; 	120 ; 	16,39 ; 	0 ; 	0 ; 	2 ; 	0,27 ; 	26 ; 	3,55 ;6/7/09;6/7/09;6/7/09;6/7/09
41235;Weilbach                      ;504; 	289 ; 	57,34 ; 	7 ; 	2,42 ; 	282 ; 	97,58 ; 	22 ; 	7,80 ; 	155 ; 	54,96 ; 	24 ; 	8,51 ; 	21 ; 	7,45 ; 	48 ; 	17,02 ; 	0 ; 	0 ; 	0 ; 	0 ; 	12 ; 	4,26 ;6/7/09;6/7/09;6/7/09;6/7/09
41236;Wippenham                     ;456; 	273 ; 	59,87 ; 	8 ; 	2,93 ; 	265 ; 	97,07 ; 	69 ; 	26,04 ; 	101 ; 	38,11 ; 	40 ; 	15,09 ; 	12 ; 	4,53 ; 	36 ; 	13,58 ; 	0 ; 	0 ; 	0 ; 	0 ; 	7 ; 	2,64 ;6/7/09;6/7/09;6/7/09;6/7/09
41299;Wahlkarten Ried im Innkreis              ;0; 	1.219 ; 	0 ; 	15 ; 	1,23 ; 	1.204 ; 	98,77 ; 	135 ; 	11,21 ; 	485 ; 	40,28 ; 	150 ; 	12,46 ; 	205 ; 	17,03 ; 	157 ; 	13,04 ; 	6 ; 	0,50 ; 	17 ; 	1,41 ; 	49 ; 	4,07 ;6/9/09;6/9/09;6/15/09;6/15/09
41300;Bezirk Rohrbach                      ;46.190; 	25.174 ; 	54,50 ; 	659 ; 	2,62 ; 	24.515 ; 	97,38 ; 	3.992 ; 	16,28 ; 	11.898 ; 	48,53 ; 	3.293 ; 	13,43 ; 	1.702 ; 	6,94 ; 	2.531 ; 	10,32 ; 	103 ; 	0,42 ; 	100 ; 	0,41 ; 	896 ; 	3,65 ;6/7/09;6/7/09;6/15/09;6/15/09
41301;Afiesl                        ;338; 	204 ; 	60,36 ; 	5 ; 	2,45 ; 	199 ; 	97,55 ; 	36 ; 	18,09 ; 	90 ; 	45,23 ; 	30 ; 	15,08 ; 	10 ; 	5,03 ; 	23 ; 	11,56 ; 	0 ; 	0 ; 	1 ; 	0,50 ; 	9 ; 	4,52 ;6/7/09;6/7/09;6/7/09;6/7/09
41302;Ahorn                         ;397; 	242 ; 	60,96 ; 	5 ; 	2,07 ; 	237 ; 	97,93 ; 	31 ; 	13,08 ; 	130 ; 	54,85 ; 	25 ; 	10,55 ; 	14 ; 	5,91 ; 	36 ; 	15,19 ; 	0 ; 	0 ; 	0 ; 	0 ; 	1 ; 	0,42 ;6/7/09;6/7/09;6/7/09;6/7/09
41303;Aigen im Mühlkreis            ;1.577; 	736 ; 	46,67 ; 	20 ; 	2,72 ; 	716 ; 	97,28 ; 	111 ; 	15,50 ; 	335 ; 	46,79 ; 	108 ; 	15,08 ; 	59 ; 	8,24 ; 	73 ; 	10,20 ; 	3 ; 	0,42 ; 	2 ; 	0,28 ; 	25 ; 	3,49 ;6/7/09;6/7/09;6/7/09;6/7/09
41304;Altenfelden                   ;1.751; 	872 ; 	49,80 ; 	37 ; 	4,24 ; 	835 ; 	95,76 ; 	132 ; 	15,81 ; 	326 ; 	39,04 ; 	125 ; 	14,97 ; 	56 ; 	6,71 ; 	149 ; 	17,84 ; 	3 ; 	0,36 ; 	3 ; 	0,36 ; 	41 ; 	4,91 ;6/7/09;6/7/09;6/7/09;6/7/09
41305;Arnreit                       ;882; 	524 ; 	59,41 ; 	8 ; 	1,53 ; 	516 ; 	98,47 ; 	42 ; 	8,14 ; 	300 ; 	58,14 ; 	77 ; 	14,92 ; 	32 ; 	6,20 ; 	42 ; 	8,14 ; 	1 ; 	0,19 ; 	1 ; 	0,19 ; 	21 ; 	4,07 ;6/7/09;6/7/09;6/7/09;6/7/09
41306;Atzesberg                     ;379; 	209 ; 	55,15 ; 	6 ; 	2,87 ; 	203 ; 	97,13 ; 	9 ; 	4,43 ; 	127 ; 	62,56 ; 	25 ; 	12,32 ; 	7 ; 	3,45 ; 	24 ; 	11,82 ; 	0 ; 	0 ; 	1 ; 	0,49 ; 	10 ; 	4,93 ;6/7/09;6/7/09;6/7/09;6/7/09
41307;Auberg                        ;435; 	233 ; 	53,56 ; 	4 ; 	1,72 ; 	229 ; 	98,28 ; 	13 ; 	5,68 ; 	138 ; 	60,26 ; 	27 ; 	11,79 ; 	20 ; 	8,73 ; 	24 ; 	10,48 ; 	0 ; 	0 ; 	0 ; 	0 ; 	7 ; 	3,06 ;6/7/09;6/7/09;6/7/09;6/7/09
41308;Berg bei Rohrbach             ;2.122; 	1.154 ; 	54,38 ; 	36 ; 	3,12 ; 	1.118 ; 	96,88 ; 	164 ; 	14,67 ; 	493 ; 	44,10 ; 	168 ; 	15,03 ; 	122 ; 	10,91 ; 	115 ; 	10,29 ; 	4 ; 	0,36 ; 	5 ; 	0,45 ; 	47 ; 	4,20 ;6/7/09;6/7/09;6/7/09;6/7/09
41309;Haslach an der Mühl           ;2.134; 	1.196 ; 	56,04 ; 	35 ; 	2,93 ; 	1.161 ; 	97,07 ; 	359 ; 	30,92 ; 	369 ; 	31,78 ; 	163 ; 	14,04 ; 	119 ; 	10,25 ; 	94 ; 	8,10 ; 	3 ; 	0,26 ; 	3 ; 	0,26 ; 	51 ; 	4,39 ;6/7/09;6/7/09;6/7/09;6/7/09
41310;Helfenberg                    ;810; 	514 ; 	63,46 ; 	9 ; 	1,75 ; 	505 ; 	98,25 ; 	83 ; 	16,44 ; 	255 ; 	50,50 ; 	68 ; 	13,47 ; 	23 ; 	4,55 ; 	58 ; 	11,49 ; 	2 ; 	0,40 ; 	2 ; 	0,40 ; 	14 ; 	2,77 ;6/7/09;6/7/09;6/7/09;6/7/09
41311;Hörbich                       ;321; 	206 ; 	64,17 ; 	6 ; 	2,91 ; 	200 ; 	97,09 ; 	11 ; 	5,50 ; 	123 ; 	61,50 ; 	30 ; 	15,00 ; 	3 ; 	1,50 ; 	23 ; 	11,50 ; 	0 ; 	0 ; 	2 ; 	1,00 ; 	8 ; 	4,00 ;6/7/09;6/7/09;6/7/09;6/7/09
41312;Hofkirchen im Mühlkreis       ;1.205; 	562 ; 	46,64 ; 	16 ; 	2,85 ; 	546 ; 	97,15 ; 	87 ; 	15,93 ; 	265 ; 	48,53 ; 	82 ; 	15,02 ; 	36 ; 	6,59 ; 	50 ; 	9,16 ; 	0 ; 	0 ; 	1 ; 	0,18 ; 	25 ; 	4,58 ;6/7/09;6/7/09;6/7/09;6/7/09
41313;Julbach                       ;1.332; 	628 ; 	47,15 ; 	12 ; 	1,91 ; 	616 ; 	98,09 ; 	185 ; 	30,03 ; 	241 ; 	39,12 ; 	71 ; 	11,53 ; 	33 ; 	5,36 ; 	59 ; 	9,58 ; 	3 ; 	0,49 ; 	1 ; 	0,16 ; 	23 ; 	3,73 ;6/7/09;6/7/09;6/7/09;6/7/09
41314;Kirchberg ob der Donau        ;863; 	447 ; 	51,80 ; 	4 ; 	0,89 ; 	443 ; 	99,11 ; 	80 ; 	18,06 ; 	217 ; 	48,98 ; 	58 ; 	13,09 ; 	24 ; 	5,42 ; 	39 ; 	8,80 ; 	6 ; 	1,35 ; 	1 ; 	0,23 ; 	18 ; 	4,06 ;6/7/09;6/7/09;6/7/09;6/7/09
41315;Klaffer am Hochficht          ;1.055; 	450 ; 	42,65 ; 	11 ; 	2,44 ; 	439 ; 	97,56 ; 	112 ; 	25,51 ; 	175 ; 	39,86 ; 	59 ; 	13,44 ; 	17 ; 	3,87 ; 	63 ; 	14,35 ; 	1 ; 	0,23 ; 	3 ; 	0,68 ; 	9 ; 	2,05 ;6/7/09;6/7/09;6/7/09;6/7/09
41316;Kleinzell im Mühlkreis        ;1.151; 	597 ; 	51,87 ; 	16 ; 	2,68 ; 	581 ; 	97,32 ; 	143 ; 	24,61 ; 	250 ; 	43,03 ; 	72 ; 	12,39 ; 	35 ; 	6,02 ; 	48 ; 	8,26 ; 	3 ; 	0,52 ; 	6 ; 	1,03 ; 	24 ; 	4,13 ;6/7/09;6/7/09;6/7/09;6/7/09
41317;Kollerschlag                  ;1.210; 	634 ; 	52,40 ; 	24 ; 	3,79 ; 	610 ; 	96,21 ; 	72 ; 	11,80 ; 	341 ; 	55,90 ; 	64 ; 	10,49 ; 	21 ; 	3,44 ; 	80 ; 	13,11 ; 	0 ; 	0 ; 	0 ; 	0 ; 	32 ; 	5,25 ;6/7/09;6/7/09;6/7/09;6/7/09
41318;Lembach im Mühlkreis          ;1.288; 	668 ; 	51,86 ; 	29 ; 	4,34 ; 	639 ; 	95,66 ; 	111 ; 	17,37 ; 	269 ; 	42,10 ; 	113 ; 	17,68 ; 	39 ; 	6,10 ; 	67 ; 	10,49 ; 	1 ; 	0,16 ; 	5 ; 	0,78 ; 	34 ; 	5,32 ;6/7/09;6/7/09;6/7/09;6/7/09
41319;Lichtenau im Mühlkreis        ;447; 	241 ; 	53,91 ; 	8 ; 	3,32 ; 	233 ; 	96,68 ; 	29 ; 	12,45 ; 	124 ; 	53,22 ; 	35 ; 	15,02 ; 	9 ; 	3,86 ; 	26 ; 	11,16 ; 	0 ; 	0 ; 	1 ; 	0,43 ; 	9 ; 	3,86 ;6/7/09;6/7/09;6/7/09;6/7/09
41320;Nebelberg                     ;519; 	345 ; 	66,47 ; 	9 ; 	2,61 ; 	336 ; 	97,39 ; 	63 ; 	18,75 ; 	198 ; 	58,93 ; 	25 ; 	7,44 ; 	12 ; 	3,57 ; 	29 ; 	8,63 ; 	5 ; 	1,49 ; 	1 ; 	0,30 ; 	3 ; 	0,89 ;6/7/09;6/7/09;6/7/09;6/7/09
41321;Neufelden                     ;996; 	527 ; 	52,91 ; 	11 ; 	2,09 ; 	516 ; 	97,91 ; 	102 ; 	19,77 ; 	217 ; 	42,05 ; 	54 ; 	10,47 ; 	60 ; 	11,63 ; 	57 ; 	11,05 ; 	2 ; 	0,39 ; 	3 ; 	0,58 ; 	21 ; 	4,07 ;6/7/09;6/7/09;6/7/09;6/7/09
41322;Niederkappel                  ;839; 	464 ; 	55,30 ; 	21 ; 	4,53 ; 	443 ; 	95,47 ; 	46 ; 	10,38 ; 	247 ; 	55,76 ; 	62 ; 	14,00 ; 	18 ; 	4,06 ; 	53 ; 	11,96 ; 	1 ; 	0,23 ; 	1 ; 	0,23 ; 	15 ; 	3,39 ;6/7/09;6/7/09;6/7/09;6/7/09
41323;Niederwaldkirchen             ;1.397; 	745 ; 	53,33 ; 	15 ; 	2,01 ; 	730 ; 	97,99 ; 	113 ; 	15,48 ; 	411 ; 	56,30 ; 	109 ; 	14,93 ; 	35 ; 	4,79 ; 	41 ; 	5,62 ; 	3 ; 	0,41 ; 	2 ; 	0,27 ; 	16 ; 	2,19 ;6/7/09;6/7/09;6/7/09;6/7/09
41324;Oberkappel                    ;537; 	272 ; 	50,65 ; 	10 ; 	3,68 ; 	262 ; 	96,32 ; 	33 ; 	12,60 ; 	166 ; 	63,36 ; 	26 ; 	9,92 ; 	7 ; 	2,67 ; 	27 ; 	10,31 ; 	0 ; 	0 ; 	0 ; 	0 ; 	3 ; 	1,15 ;6/7/09;6/7/09;6/7/09;6/7/09
41325;Oepping                       ;1.297; 	613 ; 	47,26 ; 	18 ; 	2,94 ; 	595 ; 	97,06 ; 	95 ; 	15,97 ; 	279 ; 	46,89 ; 	103 ; 	17,31 ; 	37 ; 	6,22 ; 	57 ; 	9,58 ; 	4 ; 	0,67 ; 	4 ; 	0,67 ; 	16 ; 	2,69 ;6/7/09;6/7/09;6/7/09;6/7/09
41326;Peilstein im Mühlviertel      ;1.311; 	710 ; 	54,16 ; 	19 ; 	2,68 ; 	691 ; 	97,32 ; 	101 ; 	14,62 ; 	365 ; 	52,82 ; 	105 ; 	15,20 ; 	23 ; 	3,33 ; 	70 ; 	10,13 ; 	4 ; 	0,58 ; 	3 ; 	0,43 ; 	20 ; 	2,89 ;6/7/09;6/7/09;6/7/09;6/7/09
41327;Pfarrkirchen im Mühlkreis     ;1.193; 	622 ; 	52,14 ; 	7 ; 	1,13 ; 	615 ; 	98,87 ; 	59 ; 	9,59 ; 	365 ; 	59,35 ; 	66 ; 	10,73 ; 	34 ; 	5,53 ; 	68 ; 	11,06 ; 	1 ; 	0,16 ; 	3 ; 	0,49 ; 	19 ; 	3,09 ;6/7/09;6/7/09;6/7/09;6/7/09
41328;Putzleinsdorf                 ;1.237; 	630 ; 	50,93 ; 	16 ; 	2,54 ; 	614 ; 	97,46 ; 	52 ; 	8,47 ; 	313 ; 	50,98 ; 	95 ; 	15,47 ; 	34 ; 	5,54 ; 	76 ; 	12,38 ; 	5 ; 	0,81 ; 	2 ; 	0,33 ; 	37 ; 	6,03 ;6/7/09;6/7/09;6/7/09;6/7/09
41329;Neustift im Mühlkreis         ;1.163; 	521 ; 	44,80 ; 	11 ; 	2,11 ; 	510 ; 	97,89 ; 	72 ; 	14,12 ; 	296 ; 	58,04 ; 	46 ; 	9,02 ; 	25 ; 	4,90 ; 	45 ; 	8,82 ; 	0 ; 	0 ; 	2 ; 	0,39 ; 	24 ; 	4,71 ;6/7/09;6/7/09;6/7/09;6/7/09
41330;Rohrbach in Oberösterreich    ;1.959; 	982 ; 	50,13 ; 	32 ; 	3,26 ; 	950 ; 	96,74 ; 	150 ; 	15,79 ; 	405 ; 	42,63 ; 	143 ; 	15,05 ; 	107 ; 	11,26 ; 	95 ; 	10,00 ; 	11 ; 	1,16 ; 	6 ; 	0,63 ; 	33 ; 	3,47 ;6/7/09;6/7/09;6/7/09;6/7/09
41331;St.Johann am Wimberg          ;804; 	429 ; 	53,36 ; 	8 ; 	1,86 ; 	421 ; 	98,14 ; 	59 ; 	14,01 ; 	190 ; 	45,13 ; 	59 ; 	14,01 ; 	26 ; 	6,18 ; 	64 ; 	15,20 ; 	0 ; 	0 ; 	1 ; 	0,24 ; 	22 ; 	5,23 ;6/7/09;6/7/09;6/7/09;6/7/09
41332;St.Martin im Mühlkreis        ;2.915; 	1.501 ; 	51,49 ; 	46 ; 	3,06 ; 	1.455 ; 	96,94 ; 	285 ; 	19,59 ; 	610 ; 	41,92 ; 	226 ; 	15,53 ; 	104 ; 	7,15 ; 	167 ; 	11,48 ; 	7 ; 	0,48 ; 	8 ; 	0,55 ; 	48 ; 	3,30 ;6/7/09;6/7/09;6/7/09;6/7/09
41333;St.Oswald bei Haslach         ;440; 	268 ; 	60,91 ; 	8 ; 	2,99 ; 	260 ; 	97,01 ; 	57 ; 	21,92 ; 	129 ; 	49,62 ; 	26 ; 	10,00 ; 	14 ; 	5,38 ; 	16 ; 	6,15 ; 	3 ; 	1,15 ; 	2 ; 	0,77 ; 	13 ; 	5,00 ;6/7/09;6/7/09;6/7/09;6/7/09
41334;St.Peter am Wimberg           ;1.406; 	746 ; 	53,06 ; 	16 ; 	2,14 ; 	730 ; 	97,86 ; 	88 ; 	12,05 ; 	417 ; 	57,12 ; 	100 ; 	13,70 ; 	38 ; 	5,21 ; 	52 ; 	7,12 ; 	4 ; 	0,55 ; 	2 ; 	0,27 ; 	29 ; 	3,97 ;6/7/09;6/7/09;6/7/09;6/7/09
41335;St.Stefan am Walde            ;675; 	412 ; 	61,04 ; 	12 ; 	2,91 ; 	400 ; 	97,09 ; 	72 ; 	18,00 ; 	209 ; 	52,25 ; 	35 ; 	8,75 ; 	31 ; 	7,75 ; 	36 ; 	9,00 ; 	1 ; 	0,25 ; 	2 ; 	0,50 ; 	14 ; 	3,50 ;6/7/09;6/7/09;6/7/09;6/7/09
41336;St.Ulrich im Mühlkreis        ;493; 	283 ; 	57,40 ; 	10 ; 	3,53 ; 	273 ; 	96,47 ; 	36 ; 	13,19 ; 	135 ; 	49,45 ; 	36 ; 	13,19 ; 	23 ; 	8,42 ; 	31 ; 	11,36 ; 	2 ; 	0,73 ; 	2 ; 	0,73 ; 	8 ; 	2,93 ;6/7/09;6/7/09;6/7/09;6/7/09
41337;St.Veit im Mühlkreis          ;961; 	484 ; 	50,36 ; 	10 ; 	2,07 ; 	474 ; 	97,93 ; 	76 ; 	16,03 ; 	241 ; 	50,84 ; 	79 ; 	16,67 ; 	19 ; 	4,01 ; 	40 ; 	8,44 ; 	1 ; 	0,21 ; 	0 ; 	0 ; 	18 ; 	3,80 ;6/7/09;6/7/09;6/7/09;6/7/09
41338;Sarleinsbach                  ;1.821; 	1.002 ; 	55,02 ; 	24 ; 	2,40 ; 	978 ; 	97,60 ; 	92 ; 	9,41 ; 	574 ; 	58,69 ; 	103 ; 	10,53 ; 	60 ; 	6,13 ; 	106 ; 	10,84 ; 	2 ; 	0,20 ; 	1 ; 	0,10 ; 	40 ; 	4,09 ;6/7/09;6/7/09;6/7/09;6/7/09
41339;Schlägl                       ;1.111; 	480 ; 	43,20 ; 	11 ; 	2,29 ; 	469 ; 	97,71 ; 	81 ; 	17,27 ; 	225 ; 	47,97 ; 	70 ; 	14,93 ; 	30 ; 	6,40 ; 	41 ; 	8,74 ; 	4 ; 	0,85 ; 	2 ; 	0,43 ; 	16 ; 	3,41 ;6/7/09;6/7/09;6/7/09;6/7/09
41340;Schönegg                      ;435; 	229 ; 	52,64 ; 	7 ; 	3,06 ; 	222 ; 	96,94 ; 	56 ; 	25,23 ; 	107 ; 	48,20 ; 	19 ; 	8,56 ; 	12 ; 	5,41 ; 	21 ; 	9,46 ; 	0 ; 	0 ; 	0 ; 	0 ; 	7 ; 	3,15 ;6/7/09;6/7/09;6/7/09;6/7/09
41341;Schwarzenberg am Böhmerwald   ;520; 	248 ; 	47,69 ; 	6 ; 	2,42 ; 	242 ; 	97,58 ; 	38 ; 	15,70 ; 	135 ; 	55,79 ; 	35 ; 	14,46 ; 	4 ; 	1,65 ; 	29 ; 	11,98 ; 	0 ; 	0 ; 	0 ; 	0 ; 	1 ; 	0,41 ;6/7/09;6/7/09;6/7/09;6/7/09
41342;Ulrichsberg                   ;2.464; 	1.110 ; 	45,05 ; 	27 ; 	2,43 ; 	1.083 ; 	97,57 ; 	178 ; 	16,44 ; 	486 ; 	44,88 ; 	132 ; 	12,19 ; 	91 ; 	8,40 ; 	142 ; 	13,11 ; 	7 ; 	0,65 ; 	7 ; 	0,65 ; 	40 ; 	3,69 ;6/7/09;6/7/09;6/7/09;6/7/09
41399;Wahlkarten Rohrbach                      ;0; 	1.234 ; 	0 ; 	14 ; 	1,13 ; 	1.220 ; 	98,87 ; 	178 ; 	14,59 ; 	610 ; 	50,00 ; 	139 ; 	11,39 ; 	179 ; 	14,67 ; 	75 ; 	6,15 ; 	6 ; 	0,49 ; 	8 ; 	0,66 ; 	25 ; 	2,05 ;6/9/09;6/9/09;6/15/09;6/15/09
41400;Bezirk Schärding                     ;44.884; 	23.067 ; 	51,39 ; 	493 ; 	2,14 ; 	22.574 ; 	97,86 ; 	3.733 ; 	16,54 ; 	9.190 ; 	40,71 ; 	2.891 ; 	12,81 ; 	1.248 ; 	5,53 ; 	4.359 ; 	19,31 ; 	58 ; 	0,26 ; 	80 ; 	0,35 ; 	1.015 ; 	4,50 ;6/7/09;6/7/09;6/15/09;6/15/09
41401;Altschwendt                   ;514; 	311 ; 	60,51 ; 	6 ; 	1,93 ; 	305 ; 	98,07 ; 	52 ; 	17,05 ; 	131 ; 	42,95 ; 	40 ; 	13,11 ; 	20 ; 	6,56 ; 	48 ; 	15,74 ; 	1 ; 	0,33 ; 	1 ; 	0,33 ; 	12 ; 	3,93 ;6/7/09;6/7/09;6/7/09;6/7/09
41402;Andorf                        ;3.932; 	1.773 ; 	45,09 ; 	31 ; 	1,75 ; 	1.742 ; 	98,25 ; 	428 ; 	24,57 ; 	592 ; 	33,98 ; 	227 ; 	13,03 ; 	97 ; 	5,57 ; 	316 ; 	18,14 ; 	8 ; 	0,46 ; 	4 ; 	0,23 ; 	70 ; 	4,02 ;6/7/09;6/7/09;6/7/09;6/7/09
41403;Brunnenthal                   ;1.537; 	741 ; 	48,21 ; 	21 ; 	2,83 ; 	720 ; 	97,17 ; 	103 ; 	14,31 ; 	277 ; 	38,47 ; 	89 ; 	12,36 ; 	51 ; 	7,08 ; 	164 ; 	22,78 ; 	2 ; 	0,28 ; 	3 ; 	0,42 ; 	31 ; 	4,31 ;6/7/09;6/7/09;6/7/09;6/7/09
41404;Diersbach                     ;1.273; 	676 ; 	53,10 ; 	18 ; 	2,66 ; 	658 ; 	97,34 ; 	78 ; 	11,85 ; 	291 ; 	44,22 ; 	76 ; 	11,55 ; 	41 ; 	6,23 ; 	132 ; 	20,06 ; 	3 ; 	0,46 ; 	2 ; 	0,30 ; 	35 ; 	5,32 ;6/7/09;6/7/09;6/7/09;6/7/09
41405;Dorf an der Pram              ;825; 	455 ; 	55,15 ; 	13 ; 	2,86 ; 	442 ; 	97,14 ; 	74 ; 	16,74 ; 	242 ; 	54,75 ; 	33 ; 	7,47 ; 	15 ; 	3,39 ; 	69 ; 	15,61 ; 	2 ; 	0,45 ; 	0 ; 	0 ; 	7 ; 	1,58 ;6/7/09;6/7/09;6/7/09;6/7/09
41406;Eggerding                     ;1.013; 	449 ; 	44,32 ; 	8 ; 	1,78 ; 	441 ; 	98,22 ; 	52 ; 	11,79 ; 	191 ; 	43,31 ; 	57 ; 	12,93 ; 	17 ; 	3,85 ; 	109 ; 	24,72 ; 	1 ; 	0,23 ; 	2 ; 	0,45 ; 	12 ; 	2,72 ;6/7/09;6/7/09;6/7/09;6/7/09
41407;Engelhartszell                ;851; 	441 ; 	51,82 ; 	14 ; 	3,17 ; 	427 ; 	96,83 ; 	69 ; 	16,16 ; 	178 ; 	41,69 ; 	68 ; 	15,93 ; 	21 ; 	4,92 ; 	72 ; 	16,86 ; 	1 ; 	0,23 ; 	3 ; 	0,70 ; 	15 ; 	3,51 ;6/7/09;6/7/09;6/7/09;6/7/09
41408;Enzenkirchen                  ;1.441; 	683 ; 	47,40 ; 	14 ; 	2,05 ; 	669 ; 	97,95 ; 	174 ; 	26,01 ; 	203 ; 	30,34 ; 	86 ; 	12,86 ; 	19 ; 	2,84 ; 	150 ; 	22,42 ; 	2 ; 	0,30 ; 	2 ; 	0,30 ; 	33 ; 	4,93 ;6/7/09;6/7/09;6/7/09;6/7/09
41409;Esternberg                    ;2.281; 	1.132 ; 	49,63 ; 	20 ; 	1,77 ; 	1.112 ; 	98,23 ; 	126 ; 	11,33 ; 	530 ; 	47,66 ; 	160 ; 	14,39 ; 	31 ; 	2,79 ; 	210 ; 	18,88 ; 	0 ; 	0 ; 	2 ; 	0,18 ; 	53 ; 	4,77 ;6/7/09;6/7/09;6/7/09;6/7/09
41410;Freinberg                     ;1.190; 	528 ; 	44,37 ; 	6 ; 	1,14 ; 	522 ; 	98,86 ; 	92 ; 	17,62 ; 	254 ; 	48,66 ; 	54 ; 	10,34 ; 	27 ; 	5,17 ; 	72 ; 	13,79 ; 	3 ; 	0,57 ; 	3 ; 	0,57 ; 	17 ; 	3,26 ;6/7/09;6/7/09;6/7/09;6/7/09
41411;Kopfing im Innkreis           ;1.637; 	822 ; 	50,21 ; 	32 ; 	3,89 ; 	790 ; 	96,11 ; 	101 ; 	12,78 ; 	317 ; 	40,13 ; 	99 ; 	12,53 ; 	32 ; 	4,05 ; 	195 ; 	24,68 ; 	2 ; 	0,25 ; 	5 ; 	0,63 ; 	39 ; 	4,94 ;6/7/09;6/7/09;6/7/09;6/7/09
41412;Mayrhof                       ;221; 	141 ; 	63,80 ; 	2 ; 	1,42 ; 	139 ; 	98,58 ; 	10 ; 	7,19 ; 	95 ; 	68,35 ; 	8 ; 	5,76 ; 	3 ; 	2,16 ; 	21 ; 	15,11 ; 	0 ; 	0 ; 	0 ; 	0 ; 	2 ; 	1,44 ;6/7/09;6/7/09;6/7/09;6/7/09
41413;Münzkirchen                   ;2.082; 	956 ; 	45,92 ; 	23 ; 	2,41 ; 	933 ; 	97,59 ; 	118 ; 	12,65 ; 	442 ; 	47,37 ; 	112 ; 	12,00 ; 	41 ; 	4,39 ; 	178 ; 	19,08 ; 	2 ; 	0,21 ; 	2 ; 	0,21 ; 	38 ; 	4,07 ;6/7/09;6/7/09;6/7/09;6/7/09
